"171, 186",Blotter
"204, 232",6-APB
"211, 260",Toys
"217, 274",Glass
"219, 276",Metal
"239, 52",Stimulants
"242, 58, 221",Other
"244, 116",Cuttings
"249, 76",Chemicals
"26, 292",Edibles
"277, 273",Silicone
"51,92,56",Prescription
"79, 305",Seeds
1,Cannabis
100,Silver
101,Gold
102,Jewelry
104,2C-I
105,Weaponry
107,Ammunition
108,Explosives
109,Melee
110,
114,Home & Garden
117,Food
118,Gardening Supplies
119,4-AcO-DMT
12,DMT
120,Electronics
122,Books
124,DOB
125,DOC
126,MDPV
127,Drug paraphernalia
128,Pipes
129,Erotica
130,Medical
131,Pharmaceuticals
133,Medical supplies
134,Computer equipment
136,Art
137,Apparel
138,Collectibles
139,Musical instruments
140,Sporting goods
141,Tickets
142,"CDs, DVDs, software, etc."
143,Invites / Accounts
144,"Steroids, PEDs"
145,"Security, defense"
146,NBOMe
147,Supplements
148,2C-C
149,Magazines
150,Forgeries
151,Fake IDs
152,Passports
153,DOI
154,4-AcO-DET
155,Digital currencies
156,Entheogens
157,2C-T-7
158,Caffeine
159,Crack
160,Cultures
161,GHB
162,Intoxicants
163,Fireworks
164,2C Family
165,2C-P
166,MDA
167,Bongs
168,Speed
169,Biotic materials
172,Liquid
173,Crystal
174,Microdots
175,Video
176,4-HO family
177,4-HO-MIPT
179,4-HO-DIPT
181,4-MEC
182,Ethylphenidate
183,Security
184,Loans
185,MDAI
187,Antibiotics
188,5-MeO-DiPT
189,2C-T-2
190,2C-T-4
191,FMAs
192,2-FMA
194,4-FMA
195,FAs
196,2-FA
198,4-FA
200,4-HO-MET
203,2C-D
205,5-APB
206,Ephedrine
207,Packaging
208,MDPPP
209,Butylone
210,Ethylone
212,5-MEO-MIPT
213,25I-NBOMe
214,25D-NBOMe
215,25B-NBOMe
216,25C-NBOMe
22,Weed
222,Rolling Supplies
223,Papers
224,Blunt Wraps
225,Cones
227,Grinders
228,Vaporizers
229,Accessories
23,Hash
231,azurescens
233,Watches
234,Clothing
235,Handbags
236,Sunglasses
237,Beverages
238,Lab Testing
24,Oils
240,Pain Relief
241,Viagra
243,Renewable Energy
246,Hardware
247,Lock picks
248,Smoking Blend
25,Concentrates
250,Physical Books
251,Mimosa Hostilis
253,Topicals
254,IV/IM
255,"3,4DMMC"
256,TMA Family
257,Yubikeys
258,4-AcO-MIPT
261,Kink
264,Bondage
279,Prostate Massager
28,Cubensis
280,Weight loss
282,Lotteries & games
283,Tramadol
284,5-MEO-AMT
285,Custom Orders
286,FMCs
287,4-FMC
289,Soma
29,Cyanescens
290,Dimethocaine
291,Newsletters
293,Adderall
295,Recipes
296,5-MeO-DALT
297,Herbs & Supplements
298,Writing
30,Mexicana
302,Scales
303,DOx
304,DOM
306,A-PVP
31,Atlantis
310,Vinyl
311,Dry
312,Dissolved
313,Precursors
32,Liberty caps
33,MDMA
34,White
35,Tan
36,Pills
40,Mescaline
41,Psychedelics
42,AMT
44,Ibogain
45,LSA
46,2C-B
47,2C-E
48,Opioids
49,Heroin
5,Shrooms
50,Opium
53,Cocaine
54,Meth
55,Mephedrone
57,Dissociatives
59,Ketamine
6,Ecstasy
60,DXM
61,MXE
62,PCP
63,Benzos
64,Alcohol
65,Tobacco
66,Barbiturates
67,Inhalants
69,SSRIs
7,LSD
70,Drugs
71,Crystal / Powder
72,Peyote
73,San Pedro
74,5-MeO-DMT
75,Lab Supplies
77,Glassware
80,Spores
81,Instruments
93,Digital goods
94,Services
95,Salvia
96,Synthetic
97,Methylone
98,Money
99,Bullion
