,item
Weed,3338
Drugs,2194
Benzos,1193
Books,955
Cannabis,877
Hash,820
Cocaine,630
Pills,473
Money,405
MDMA,393
Erotica,385
"Steroids, PEDs",376
Heroin,370
DMT,343
Opioids,342
Digital goods,260
Meth,259
Speed,246
Magazines,240
Services,220
Cubensis,218
LSD,205
Ketamine,195
Custom Orders,192
2C-B,186
"CDs, DVDs, software, etc.",165
Concentrates,156
White,137
Viagra,134
Methylone,127
Digital currencies,124
Video,122
Pain Relief,121
Electronics,117
Supplements,116
MXE,113
Shrooms,112
Drug paraphernalia,112
Lotteries & games,109
Adderall,104
25I-NBOMe,100
Computer equipment,98
Forgeries,97
MDPV,95
Fake IDs,95
Spores,89
NBOMe,87
Jewelry,85
2C-E,82
Accessories,79
Mephedrone,77
Tan,76
Synthetic,75
Tobacco,72
Watches,72
Psychedelics,70
Sunglasses,70
Oils,69
Invites / Accounts,69
GHB,60
Ecstasy,58
2C-P,55
25C-NBOMe,51
MDA,50
Physical Books,50
Pipes,46
2C-I,46
Food,45
Clothing,45
Crack,45
4-MEC,42
Opium,40
Packaging,40
DOC,40
4-AcO-DMT,39
SSRIs,39
Medical,39
Pharmaceuticals,36
Ibogain,32
Handbags,31
Weight loss,30
Salvia,29
PCP,29
Smoking Blend,29
Lab Supplies,28
Apparel,28
Medical supplies,28
5-MEO-MIPT,27
Loans,27
2C-C,25
Papers,25
Fireworks,24
TMA Family,24
4-FA,23
5-MeO-DMT,23
2C Family,21
Scales,20
Melee,19
AMT,19
Security,19
Ephedrine,18
Silver,18
Collectibles,17
Yubikeys,16
Grinders,16
Bondage,16
Liquid,16
Weaponry,15
Vaporizers,15
2C-T-7,15
DOB,15
Crystal / Powder,15
IV/IM,15
Dissociatives,14
Home & Garden,13
Herbs & Supplements,13
Bullion,13
Tramadol,13
DXM,12
Tickets,12
Microdots,12
2C-T-2,12
Caffeine,12
azurescens,11
Gold,11
Art,11
Inhalants,10
4-AcO-DET,10
Mexicana,10
Ammunition,9
25D-NBOMe,9
4-HO-MIPT,9
5-MeO-DiPT,9
Prostate Massager,9
Musical instruments,8
2C-T-4,8
Kink,8
Ethylphenidate,8
Cyanescens,8
Mimosa Hostilis,7
Bongs,7
Mescaline,7
DOx,7
Butylone,7
Passports,7
MDPPP,6
Cultures,6
4-FMA,6
Atlantis,6
Cones,6
"Security, defense",6
Precursors,6
Sporting goods,5
Alcohol,5
Soma,5
2C-D,5
2-FMA,5
Barbiturates,5
5-MeO-DALT,5
DOI,5
25B-NBOMe,4
4-HO-MET,4
4-AcO-MIPT,4
Renewable Energy,4
MDAI,4
Crystal,4
Hardware,4
Recipes,4
5-APB,3
Entheogens,3
Glassware,3
LSA,3
Rolling Supplies,3
Instruments,3
4-HO family,3
Lock picks,3
Topicals,3
Dimethocaine,3
2-FA,2
A-PVP,2
Blunt Wraps,2
Beverages,2
Newsletters,2
Liberty caps,2
Vinyl,2
FAs,2
Intoxicants,1
San Pedro,1
4-HO-DIPT,1
Gardening Supplies,1
Dissolved,1
Explosives,1
"3,4DMMC",1
Lab Testing,1
Peyote,1
5-MEO-AMT,1
Writing,1
4-FMC,1
Biotic materials,1
DOM,1
Antibiotics,1
Ethylone,1
