,seller,money
1172,f1b4a51172,100000390
980,ca492f913f,15450623
169,1e0f977b89,182563
625,82492037c6,116220
248,2cc262d8e0,82560
41,06b8d7df42,38786
1008,d10a9075db,31448
748,9dbb23bc56,25964
624,82466b59a4,24846
938,c02b16acb1,22507
619,810eb858ad,19070
1057,db0c1adda1,17932
1212,fa546b7f58,14950
601,7c1ca8ce36,13463
137,17fd5d25cb,11527
973,c8e9684fff,11371
581,7824adf783,10398
1037,d63f1ead78,10349
420,4f7e893f18,9775
875,b392065f1e,8924
136,17ca2c9f8c,8895
315,3970e2560a,8895
13,0238ba8732,8872
587,79242f25bb,8040
527,6cf3f6bd0a,7981
752,9e02539b66,7648
1088,e1ca55b720,7132
583,786c7a15fe,6967
423,50963d8c4c,6918
397,4b1ca3a6e9,6625
570,75ea46a489,6568
836,ac9672c4d4,6530
364,42a4b07ec3,6391
132,174bbc9a3c,6359
818,a9f6798f8a,6329
89,10334fc649,6237
1106,e62cd0afa0,6136
485,60ec7f7672,6084
1126,e9c9c92b45,5716
735,9a2e6bef5c,5647
974,c8ff1c422c,5590
1175,f24672929d,5459
632,8430a9c4ec,5346
1022,d357254a10,5291
268,3005a57498,5185
932,bee853c4b4,4900
780,a40f85388e,4805
653,8b54c215a6,4464
130,1718351d28,4394
593,7a19a7aefc,4050
1234,febac39953,4014
806,a8356ad59b,3949
181,200ace457e,3851
892,b65fe7544f,3837
665,8e0e0fdcf0,3672
348,4083af0230,3657
1023,d3e2a0e41d,3592
584,78751100e9,3530
496,65278e77c0,3513
678,8f7e1f6466,3497
1035,d5d76cd189,3333
707,9513e5b184,3331
721,97b963bf89,3329
834,ac7a48fbb8,3328
407,4d0cc14e15,3265
835,ac82a75dd6,3057
558,73702baaf8,3045
393,4aa070036d,3024
1133,ea69bf6d69,3016
182,201ccbf97f,3005
232,2a11cb58c2,2934
416,4ede778164,2849
1161,ef1de7aacc,2848
135,17c7cc33c1,2840
345,3f77567e57,2834
842,ad83331ee0,2740
387,491fecfff1,2737
524,6c78e014c4,2669
378,46613f1400,2640
451,587acad776,2637
241,2b0b7fe34d,2614
230,2a0b308dc1,2548
146,18e28b4ec3,2548
971,c8d4ac2dee,2520
90,10c4f89ef7,2514
964,c6f8079ed2,2498
235,2a776cb339,2484
209,26228e66e8,2483
790,a54cd7dce9,2467
591,79b55dbf33,2456
313,38f2991c2f,2440
1224,fd065ea99a,2413
533,6e0f242ec4,2411
507,685ade1418,2376
525,6c861ab0e2,2372
121,1564da3599,2361
101,125fdac028,2331
1105,e5e9c21007,2327
764,a0b738f841,2303
1190,f5efbc0c0a,2261
54,085fced0c2,2254
78,0d8550d7cf,2184
100,125e5a7698,2149
258,2ec42a461e,2135
1199,f74fa5e94b,2056
1232,fe7f4de5e9,2055
540,6fbb5e82be,2042
1226,fd53026c31,1987
45,06f300c27a,1971
58,08a6d3a0e4,1945
354,410cc46128,1904
453,58ba14e378,1886
1180,f2fd00d797,1854
1074,df48239baa,1851
699,937b2ee27f,1849
643,88c806953f,1846
722,97ec97532e,1826
116,14fd3eaa8b,1819
781,a417559797,1816
897,b71908ecc3,1805
623,8227e92497,1802
1200,f758f27e4c,1797
1016,d27c507ce7,1792
465,5b63424c90,1783
610,7e96236b9f,1780
140,1859cc4d9e,1776
1140,eb5c8ec175,1772
198,244342e41d,1771
928,bea42eeb14,1768
440,53278bfddc,1751
1158,eeabb2a412,1738
98,11f3675680,1730
1165,ef775b9243,1724
0,001db1aca5,1713
1011,d1641a4dc2,1705
948,c2956cac29,1699
779,a3ffad93e2,1686
845,ae5b2b08d8,1672
862,b16d39a9c7,1663
411,4da7a60a6b,1649
399,4b3b9dc9eb,1642
200,24d1bb2536,1640
738,9ab4c43602,1613
245,2c3a656a74,1611
723,981a01edf6,1595
11,01c55b345c,1584
70,0bf76d42db,1577
186,20f36f7f30,1570
598,7ba5229777,1544
484,5fe29690da,1538
497,652c821877,1533
439,52e3a14207,1533
1145,ec86fcb76d,1530
814,a967443370,1486
800,a703e310f6,1482
1237,fefec53404,1463
67,0b1f297ef3,1443
346,400e9078ac,1411
308,386fdc43ec,1398
1094,e42756744f,1373
689,9192f41bc8,1369
442,538fde2015,1337
394,4ab0684af4,1323
1215,fb30570018,1318
1118,e87735dd65,1302
1202,f788b16a8f,1297
824,aa826a1d5c,1297
937,c01664a83c,1295
777,a3d190e2b3,1286
828,abc52c6233,1286
1201,f75e118d11,1264
1134,ea8c2ab8a8,1236
604,7ce0be1b71,1230
717,97154430fc,1223
976,c92c8aec26,1216
784,a449f9207e,1216
1,006fc2dbdd,1214
772,a2daf63c88,1197
1020,d31ccd0572,1187
