,item,days
0,2-FA,96
1,2-FMA,28
2,25B-NBOMe,22
3,25C-NBOMe,25
4,25D-NBOMe,26
5,25I-NBOMe,25
6,2C Family,29
7,2C-B,42
8,2C-C,42
9,2C-D,47
10,2C-E,39
11,2C-I,35
12,2C-P,34
13,2C-T-2,30
14,2C-T-4,75
15,2C-T-7,24
16,"3,4DMMC",25
17,4-AcO-DET,63
18,4-AcO-DMT,35
19,4-AcO-MIPT,26
20,4-FA,41
21,4-FMA,37
22,4-FMC,18
23,4-HO family,98
24,4-HO-DIPT,5
25,4-HO-MET,37
26,4-HO-MIPT,24
27,4-MEC,50
28,5-APB,30
29,5-MEO-AMT,34
30,5-MEO-MIPT,45
31,5-MeO-DALT,31
32,5-MeO-DMT,70
33,5-MeO-DiPT,37
34,A-PVP,9
35,AMT,47
36,Accessories,34
37,Adderall,11
38,Alcohol,39
39,Ammunition,24
40,Antibiotics,171
41,Apparel,38
42,Art,32
43,Atlantis,44
44,Barbiturates,75
45,Benzos,35
46,Beverages,24
47,Biotic materials,64
48,Blunt Wraps,0
49,Bondage,11
50,Bongs,15
51,Books,65
52,Bullion,26
53,Butylone,59
54,"CDs, DVDs, software, etc.",57
55,Caffeine,46
56,Cannabis,21
57,Clothing,30
58,Cocaine,22
59,Collectibles,22
60,Computer equipment,39
61,Concentrates,30
62,Cones,38
63,Crack,26
64,Crystal,6
65,Crystal / Powder,88
66,Cubensis,23
67,Cultures,44
68,Custom Orders,6
69,Cyanescens,19
70,DMT,29
71,DOB,61
72,DOC,43
73,DOI,66
74,DOM,5
75,DOx,13
76,DXM,42
77,Digital currencies,35
78,Digital goods,75
79,Dimethocaine,10
80,Dissociatives,21
81,Dissolved,0
82,Drug paraphernalia,49
83,Drugs,18
84,Ecstasy,40
85,Electronics,38
86,Entheogens,49
87,Ephedrine,39
88,Erotica,68
89,Ethylone,65
90,Ethylphenidate,58
91,Explosives,27
92,FAs,47
93,Fake IDs,45
94,Fireworks,21
95,Food,13
96,Forgeries,46
97,GHB,46
98,Gardening Supplies,2
99,Glassware,49
100,Gold,6
101,Grinders,30
102,Handbags,26
103,Hardware,59
104,Hash,26
105,Herbs & Supplements,30
106,Heroin,23
107,Home & Garden,27
108,IV/IM,24
109,Ibogain,33
110,Inhalants,13
111,Instruments,65
112,Intoxicants,2
113,Invites / Accounts,63
114,Jewelry,23
115,Ketamine,34
116,Kink,29
117,LSA,18
118,LSD,13
119,Lab Supplies,48
120,Lab Testing,52
121,Liberty caps,1
122,Liquid,9
123,Loans,34
124,Lock picks,69
125,Lotteries & games,31
126,MDA,36
127,MDAI,23
128,MDMA,31
129,MDPPP,71
130,MDPV,25
131,MXE,31
132,Magazines,5
133,Medical,47
134,Medical supplies,49
135,Melee,19
136,Mephedrone,43
137,Mescaline,16
138,Meth,23
139,Methylone,50
140,Mexicana,31
141,Microdots,9
142,Mimosa Hostilis,31
143,Money,38
144,Musical instruments,36
145,NBOMe,52
146,Newsletters,61
147,Oils,41
148,Opioids,31
149,Opium,35
150,PCP,40
151,Packaging,30
152,Pain Relief,21
153,Papers,34
154,Passports,47
155,Peyote,4
156,Pharmaceuticals,26
157,Physical Books,46
158,Pills,35
159,Pipes,59
160,Precursors,3
161,Prostate Massager,11
162,Psychedelics,39
163,Recipes,26
164,Renewable Energy,120
165,Rolling Supplies,28
166,SSRIs,64
167,Salvia,42
168,San Pedro,112
169,Scales,21
170,Security,67
171,"Security, defense",65
172,Services,38
173,Shrooms,26
174,Silver,34
175,Smoking Blend,15
176,Soma,27
177,Speed,32
178,Spores,50
179,Sporting goods,11
180,"Steroids, PEDs",73
181,Sunglasses,24
182,Supplements,26
183,Synthetic,63
184,TMA Family,35
185,Tan,37
186,Tickets,13
187,Tobacco,56
188,Topicals,37
189,Tramadol,23
190,Vaporizers,19
191,Viagra,35
192,Video,30
193,Vinyl,14
194,Watches,31
195,Weaponry,24
196,Weed,22
197,Weight loss,24
198,White,45
199,Writing,4
200,Yubikeys,12
201,azurescens,3
