,item,days
0,2-FA,96.5
1,2-FMA,28.2
2,25B-NBOMe,22.75
3,25C-NBOMe,25.50980392156863
4,25D-NBOMe,26.22222222222222
5,25I-NBOMe,25.3
6,2C Family,29.523809523809526
7,2C-B,42.77956989247312
8,2C-C,42.68
9,2C-D,47.6
10,2C-E,39.46341463414634
11,2C-I,35.130434782608695
12,2C-P,34.0
13,2C-T-2,30.083333333333332
14,2C-T-4,75.125
15,2C-T-7,24.333333333333332
16,"3,4DMMC",25.0
17,4-AcO-DET,63.1
18,4-AcO-DMT,35.58974358974359
19,4-AcO-MIPT,26.25
20,4-FA,41.95652173913044
21,4-FMA,37.333333333333336
22,4-FMC,18.0
23,4-HO family,98.0
24,4-HO-DIPT,5.0
25,4-HO-MET,37.75
26,4-HO-MIPT,24.22222222222222
27,4-MEC,50.595238095238095
28,5-APB,30.333333333333332
29,5-MEO-AMT,34.0
30,5-MEO-MIPT,45.7037037037037
31,5-MeO-DALT,31.4
32,5-MeO-DMT,70.73913043478261
33,5-MeO-DiPT,37.0
34,A-PVP,9.5
35,AMT,47.31578947368421
36,Accessories,34.65822784810127
37,Adderall,11.10576923076923
38,Alcohol,39.8
39,Ammunition,24.666666666666668
40,Antibiotics,171.0
41,Apparel,38.214285714285715
42,Art,32.63636363636363
43,Atlantis,44.0
44,Barbiturates,75.4
45,Benzos,35.273260687342834
46,Beverages,24.0
47,Biotic materials,64.0
48,Blunt Wraps,0.0
49,Bondage,11.0
50,Bongs,15.142857142857142
51,Books,65.63455497382199
52,Bullion,26.46153846153846
53,Butylone,59.42857142857143
54,"CDs, DVDs, software, etc.",57.81818181818182
55,Caffeine,46.416666666666664
56,Cannabis,21.05587229190422
57,Clothing,30.68888888888889
58,Cocaine,22.66031746031746
59,Collectibles,22.705882352941178
60,Computer equipment,39.41836734693877
61,Concentrates,30.641025641025642
62,Cones,38.5
63,Crack,26.2
64,Crystal,6.75
65,Crystal / Powder,88.6
66,Cubensis,23.96330275229358
67,Cultures,44.833333333333336
68,Custom Orders,6.802083333333333
69,Cyanescens,19.5
70,DMT,29.57725947521866
71,DOB,61.53333333333333
72,DOC,43.1
73,DOI,66.6
74,DOM,5.0
75,DOx,13.285714285714286
76,DXM,42.5
77,Digital currencies,35.725806451612904
78,Digital goods,75.68461538461538
79,Dimethocaine,10.0
80,Dissociatives,21.642857142857142
81,Dissolved,0.0
82,Drug paraphernalia,49.69642857142857
83,Drugs,18.584320875113946
84,Ecstasy,40.12068965517241
85,Electronics,38.333333333333336
86,Entheogens,49.333333333333336
87,Ephedrine,39.666666666666664
88,Erotica,68.41298701298702
89,Ethylone,65.0
90,Ethylphenidate,58.625
91,Explosives,27.0
92,FAs,47.0
93,Fake IDs,45.28421052631579
94,Fireworks,21.291666666666668
95,Food,13.488888888888889
96,Forgeries,46.91752577319588
97,GHB,46.11666666666667
98,Gardening Supplies,2.0
99,Glassware,49.0
100,Gold,6.454545454545454
101,Grinders,30.125
102,Handbags,26.483870967741936
103,Hardware,59.5
104,Hash,26.474390243902437
105,Herbs & Supplements,30.153846153846153
106,Heroin,23.17297297297297
107,Home & Garden,27.76923076923077
108,IV/IM,24.8
109,Ibogain,33.625
110,Inhalants,13.5
111,Instruments,65.33333333333333
112,Intoxicants,2.0
113,Invites / Accounts,63.01449275362319
114,Jewelry,23.223529411764705
115,Ketamine,34.92820512820513
116,Kink,29.25
117,LSA,18.666666666666668
118,LSD,13.239024390243902
119,Lab Supplies,48.964285714285715
120,Lab Testing,52.0
121,Liberty caps,1.0
122,Liquid,9.375
123,Loans,34.111111111111114
124,Lock picks,69.0
125,Lotteries & games,31.229357798165136
126,MDA,36.54
127,MDAI,23.75
128,MDMA,31.045801526717558
129,MDPPP,71.5
130,MDPV,25.31578947368421
131,MXE,31.5929203539823
132,Magazines,5.341666666666667
133,Medical,47.41025641025641
134,Medical supplies,49.214285714285715
135,Melee,19.94736842105263
136,Mephedrone,43.41558441558441
137,Mescaline,16.0
138,Meth,23.027027027027028
139,Methylone,50.59055118110236
140,Mexicana,31.1
141,Microdots,9.916666666666666
142,Mimosa Hostilis,31.571428571428573
143,Money,38.098765432098766
144,Musical instruments,36.375
145,NBOMe,52.98850574712644
146,Newsletters,61.5
147,Oils,41.55072463768116
148,Opioids,31.242690058479532
149,Opium,35.8
150,PCP,40.13793103448276
151,Packaging,30.05
152,Pain Relief,21.669421487603305
153,Papers,34.76
154,Passports,47.142857142857146
155,Peyote,4.0
156,Pharmaceuticals,26.833333333333332
157,Physical Books,46.88
158,Pills,35.07822410147992
159,Pipes,59.84782608695652
160,Precursors,3.6666666666666665
161,Prostate Massager,11.0
162,Psychedelics,39.01428571428571
163,Recipes,26.25
164,Renewable Energy,120.0
165,Rolling Supplies,28.666666666666668
166,SSRIs,64.7948717948718
167,Salvia,42.758620689655174
168,San Pedro,112.0
169,Scales,21.85
170,Security,67.47368421052632
171,"Security, defense",65.66666666666667
172,Services,38.15
173,Shrooms,26.267857142857142
174,Silver,34.27777777777778
175,Smoking Blend,15.482758620689655
176,Soma,27.4
177,Speed,32.47560975609756
178,Spores,50.21348314606742
179,Sporting goods,11.6
180,"Steroids, PEDs",73.97606382978724
181,Sunglasses,24.1
182,Supplements,26.586206896551722
183,Synthetic,63.986666666666665
184,TMA Family,35.458333333333336
185,Tan,37.276315789473685
186,Tickets,13.75
187,Tobacco,56.22222222222222
188,Topicals,37.0
189,Tramadol,23.307692307692307
190,Vaporizers,19.8
191,Viagra,35.16417910447761
192,Video,30.885245901639344
193,Vinyl,14.0
194,Watches,31.38888888888889
195,Weaponry,24.266666666666666
196,Weed,22.955362492510485
197,Weight loss,24.333333333333332
198,White,45.34306569343066
199,Writing,4.0
200,Yubikeys,12.875
201,azurescens,3.1818181818181817
